date,title,url
23 Apr 2012,U.S. Holocaust Memorial Museum Address,speeches/barackobama/barackobamausschealthcareruling.htm
28 Apr 2012,White House Correspondents Dinner Speech,speeches/barackobama/barackobamaauroratragedy.htm
14 May 2012,Barnard College Commencement Speech,speeches/barackobama/barackobama113vfw.htm
13 Jun 2012,Shimon Peres Presidential Medal of Freedom Award,speeches/barackobama/barackobamabenghaziattacks.htm
28 Jun 2012,On the US Supreme Court Affordable Care Act Ruling,speeches/barackobama/barackobamabenghazivictims.htm
20 Jul 2012,Remarks on the Tragedy in Aurora Colorado,speeches/barackobama/barackobamaclintonglobalinitiative2012.htm
23 Jul 2012,Speech to the 113th VFW Convention,speeches/barackobama/barackobamaunitednations67.htm
06 Sep 2012,Second Presidential Nomination Acceptance Speech,speeches/barackobama/barackobamahurricanesandy29oct.htm
12 Sep 2012,Rose Garden Address on Benghazi Attacks,speeches/barackobama/barackobamaredcross.htm
14 Sep 2012,Benghazi Victims Transfer of Remains Speech,speeches/barackobama/barackobamasecondpresidentialvictoryspeech.htm
25 Sep 2012,Clinton Global Initiative Speech on Human Trafficking,speeches/barackobama/barackobamapostelectioneconomy.htm
25 Sep 2012,United Nations 67th Session General Assembly Speech,speeches/barackobama/barackobamapresserpetraeus.htm
03 Oct 2012,First Debate with Mitt Romney,speeches/barackobama/barackobamayangonuniversity.htm
17 Oct 2012,Second Debate with Mitt Romney,speeches/barackobama/barackobamanewtownshooting.htm
23 Oct 2012,Third Debate with Mitt Romney,speeches/barackobama/barackobamanewtownvigilspeech.htm
29 Oct 2012,On Hurricane Sandy After Emergency Team Briefings,speeches/barackobama/barackobamagunviolencepresser.htm
30 Oct 2012,On Hurricane Sandy at the American Red Cross,speeches/barackobama/barackobamadanielinouyeeulogy.htm
06 Nov 2012,Second Presidential Election Victory Speech,speeches/barackobama/barackobamafinalfirsttermpresser.htm
09 Nov 2012,Post Election Speech on Deficit Reduction and Jobs,speeches/barackobama/barackobamagunviolenceexecacts.htm
14 Nov 2012,First Presser Following Presidential Reelection,speeches/barackobama/barackobamasecondinauguraladdress.htm
19 Nov 2012,Yangon University Address,speeches/barackobama/barackobamainauguralluncheontoast.htm
14 Dec 2012,On the Sandy Hook Elementary School Shootings,speeches/barackobama/barackobamaimmagrationreform.htm
16 Dec 2012,"Newtown, Connecticut Interfaith Vigil Speech",speeches/barackobama/barackobamamiddleclasseconomy.htm
19 Dec 2012,End Year Press Conference,speeches/barackobama/barackobamasequesternewportnews.htm
21 Dec 2012,Eulogy for Senator Daniel Inouye,speeches/barackobama/barackobamarosaparksstatue.htm
14 Jan 2013,Final First Term Press Conference,speeches/barackobama/barackobamajerusalemconventioncenter.htm
16 Jan 2013,On Signing Executive Actions to Reduce Gun Violence,speeches/barackobama/barackobamachildrensmemorialyadvashem.htm
21 Jan 2013,SECOND PRESIDENTIAL INAUGURAL ADDRESS,speeches/barackobama/barackobamabraininitiative.htm
21 Jan 2013,Inaugural Luncheon Toast,speeches/barackobama/barackobamagunviolencereductiondenver.htm
29 Jan 2013,Comprehensive Immigration Reform Speech,speeches/barackobama/barackobamagunviolencereductionconnecticut.htm
12 Feb 2013,Fourth Presidential State of the Union Speech,speeches/barackobama/barackobamaemilkapaunmedalofhonor.htm
15 Feb 2013,On Strengthening the Economy for the Middle Class,speeches/barackobama/barackobamabostonmarathonexplosionsfirststatement.htm
26 Feb 2013,Newport News Speech on the Impact of the Sequester,speeches/barackobama/barackobamabostonmarathonexplosionssecondstatement.htm
27 Feb 2013,Rosa Parks Statue Dedication Speech,speeches/barackobama/barackobamasenateguncontrolbillvote.htm
21 Mar 2013,Jerusalem International Convention Center Speech,speeches/barackobama/barackobamabostoninterfaithprayerservice.htm
22 Mar 2013,Speech in the Children's Memorial at Yad Vashem,speeches/barackobama/barackobamabostonmarathonexplosionsthirdstatement.htm
02 Apr 2013,BRAIN Initiative Announcement,speeches/barackobama/barackobamagwbushlibrarydedication.htm
03 Apr 2013,Gun Violence Reduction Speech in Colorado,speeches/barackobama/barackobamawestfertilizerplantmemorial.htm
08 Apr 2013,Gun Violence Reduction Speech in Connecticut,speeches/barackobama/barackobamawhitehousecorrespondentsdinner2013.htm
11 Apr 2013,U.S. Army Chaplain Emil Kapaun Medal of Honor Award,speeches/barackobama/barackobamasyriaetalpresser.htm
15 Apr 2013,First Statement on Boston Marathon Bombings,speeches/barackobama/barackobamamexicopeople.htm
16 Apr 2013,Second Statement on Boston Marathon Bombings,speeches/barackobama/barackobamairsmisconduct.htm
17 Apr 2013,On Senate Vote Against Background Checks,speeches/barackobama/barackobamamorehousecollegecommencement.htm
18 Apr 2013,Boston Interfaith Prayer Service Speech,speeches/barackobama/barackobamanationaldefenseuniversity.htm
19 Apr 2013,Third Statement on Boston Marathon Bombings,speeches/barackobama/barackobamanavalacademycommencement.htm
25 Apr 2013,George W. Bush Presidential Library Dedication Speech,speeches/barackobama/barackobamasanjosesurveillance.htm
25 Apr 2013,West Fertilizer Plant Tragedy Memorial Speech,speeches/barackobama/barackobamaimmigrationreformcomprehensive.htm
27 Apr 2013,White House Correspondents Dinner Speech,speeches/barackobama/barackobamanorthernireland.htm
30 Apr 2013,Press Q&A on Syria and Sundry Topics,speeches/barackobama/barackobamabrandenburggate.htm
03 May 2013,Speech to the People of Mexico,speeches/barackobama/barackobamacapetownuniversity.htm
15 May 2013,Remarks on IG Audit of the IRS,speeches/barackobama/barackobamatrayvonmartin.htm
19 May 2013,Morehouse College Commencement Address,speeches/barackobama/barackobamaknoxcollegeeconomy.htm
23 May 2013,National Defense University Speech on Terrorism,speeches/barackobama/barackobamakoreanwar60tharmistice.htm
24 May 2013,U.S. Naval Academy Commencement Address,speeches/barackobama/barackobamaintelreformpresser.htm
07 Jun 2013,On Affordable Care Act and Domestic Surveillance,speeches/barackobama/barackobamaletfreedomringceremony.htm
11 Jun 2013,US Senate Call to Comprehensive Immigration Reform,speeches/barackobama/barackobamasyriachemicalweapons.htm
17 Jun 2013,Northern Ireland Speech,speeches/barackobama/barackobamasyrianation.htm
19 Jun 2013,Brandenburg Gate Speech,speeches/barackobama/barackobamanavyyardshootingmemorial.htm
30 Jun 2013,Cape Town University Speech,speeches/barackobama/barackobamaunitednations68.htm
19 Jul 2013,Speech on Trayvon Martin,speeches/barackobama/barackobamaclintonglobalinitiative.htm
24 Jul 2013,Knox College Speech on the Economy,speeches/barackobama/barackobamagovernmentshutdown.htm
27 Jul 2013,Korean War Armistice Signing 60th Anniversary Speech,speeches/barackobama/barackobamaaffordablecareactwebsiteproblems.htm
