date,title,url
2014-10-17,Speech On Signing Executive Order 13681 at the CFPB,./Data/barackobamexecutiveorder13681acfpb.txt
2014-10-28,Ebola Response Update Speech,./Data/barackobamaebolaresponseupdate.txt
2014-11-05,Midterm Elections Press Conference,./Data/barackobamamidtermrepublicanvictorypresser.txt
2014-11-14,Joint Press Conference with Daw Aung San Suu Kyi,./Data/barackobamasuukyipresser.txt
2014-11-14,Young Leaders Town Hall Myanmar/Burma,./Data/barackobamaYSEALIMyanmar.txt
2014-11-15,Queensland University Address,./Data/barackobamaqueenslanduniversity.txt
2014-11-20,National Immigration Policy Address,./Data/barackobamaimmigrationnationalpolicy.txt
2014-11-24,On Ferguson Grand Jury Decision,./Data/barackobamafergusongrandjury.txt
2014-12-02,NIH Ebola Vaccine Research Address,./Data/barackobamaebolavaccineNIH.txt
2014-12-17,Cuba Detente Policy Address,./Data/barackobamacubapolicychanges.txt
2014-12-19,End of Year Press Conference,./Data/barackobamafinal2014presser.txt
2015-01-09,American's College Promise Address,./Data/barackobamacommunitycollegefreeplan.txt
2015-01-12,Federal Trade Commission Address,./Data/barackobamaftc2014.txt
2015-01-13,National Cybersecurity Communication Center Speech,./Data/barackobamanccic.txt
2015-01-27,Speech to the People of India in New Delhi,./Data/barackobamaindia2015.txt
